Vegetable,Sate_nr,State,Planting_Month,Harvesting_Month
Tomatoes,1,FL,November,December-February
Tomatoes,2,CA,January,May-June
Tomatoes,2,CA,February,May-June
Tomatoes,2,CA,March,May-June
Tomatoes,1,FL,December,April-May
Tomatoes,1,FL,January,April-May
Tomatoes,1,FL,February,April-May
Tomatoes,1,FL,March,April-May
Tomatoes,3,TX,January,June
Cucumbers,1,FL,November,January
Cucumbers,1,FL,December,January
Cucumbers,2,CA,January,April
Cucumbers,1,FL,January,March-May
Cucumbers,1,FL,February,March-May
Cucumbers,1,FL,March,March-May
Cucumbers,4,GA,March,May-June
Cucumbers,4,GA,April,May-June
